Time [s],Channel 0,Channel 1
0.000000000,0,0
0.228635832,0,1
0.228635834,1,1
0.293197594,1,0
0.293201122,0,0
0.293205304,0,1
0.293209804,1,1
0.293214918,0,1
0.293219806,1,1
0.293224918,0,1
0.293229808,1,1
0.293234918,0,1
0.293236594,0,0
0.293239810,1,0
0.293244920,0,0
0.293249812,1,0
0.293254920,0,0
0.293259812,1,0
0.293264922,0,0
0.293269812,1,0
0.293274922,0,0
0.293279812,1,0
0.293284922,0,0
0.293289814,1,0
0.293294922,0,0
0.293295074,0,1
0.293300234,0,0
0.293304698,1,0
0.293310326,1,1
0.293341548,1,0
0.293346004,0,0
0.293350188,0,1
0.293354686,1,1
0.293359800,0,1
0.293364690,1,1
0.293369800,0,1
0.293374690,1,1
0.293379800,0,1
0.293381194,0,0
0.293384694,1,0
0.293389802,0,0
0.293394694,1,0
0.293399804,0,0
0.293404692,1,0
0.293409802,0,0
0.293414694,1,0
0.293419804,0,0
0.293424694,1,0
0.293429806,0,0
0.293434696,1,0
0.293439804,0,0
0.293439958,0,1
0.293445302,0,0
0.293449892,1,0
0.293454992,0,0
0.293459890,1,0
0.293464994,0,0
0.293465282,0,1
0.293469886,1,1
0.293474994,0,1
0.293475364,0,0
0.293479886,1,0
0.293484996,0,0
0.293489888,1,0
0.293494996,0,0
0.293499888,1,0
0.293504996,0,0
0.293509888,1,0
0.293514998,0,0
0.293515288,0,1
0.293519888,1,1
0.293525352,0,1
0.293525442,0,0
0.293529888,1,0
0.293534998,0,0
0.293544212,1,0
0.293549844,1,1
0.293676932,1,0
0.293680716,0,0
0.293684768,0,1
0.293689268,1,1
0.293694382,0,1
0.293699270,1,1
0.293704382,0,1
0.293709272,1,1
0.293714384,0,1
0.293716034,0,0
0.293719274,1,0
0.293724384,0,0
0.293729274,1,0
0.293734386,0,0
0.293739274,1,0
0.293744386,0,0
0.293749276,1,0
0.293754386,0,0
0.293759276,1,0
0.293764388,0,0
0.293769278,1,0
0.293774386,0,0
0.293774538,0,1
0.293779884,0,0
0.293784474,1,0
0.293789572,0,0
0.293794468,1,0
0.293799576,0,0
0.293804468,1,0
0.293809576,0,0
0.293814468,1,0
0.293819576,0,0
0.293824468,1,0
0.293829578,0,0
0.293834468,1,0
0.293839578,0,0
0.293844468,1,0
0.293849578,0,0
0.293854470,1,0
0.293859580,0,0
0.293864470,1,0
0.293869580,0,0
0.293879102,1,0
0.293884202,0,0
0.293889098,1,0
0.293894204,0,0
0.293899096,1,0
0.293904206,0,0
0.293909100,1,0
0.293914206,0,0
0.293919096,1,0
0.293924208,0,0
0.293929096,1,0
0.293934208,0,0
0.293939098,1,0
0.293944208,0,0
0.293949098,1,0
0.293954208,0,0
0.293959100,1,0
0.293964210,0,0
0.293973734,1,0
